open_time,open,high,low,close,volume,close_time,quote_asset_volume,num_trades,taker_base_vol,taker_quote_vol,ignore
2019-09-24 13:00,9676.98,9676.98,9594.65,9594.65,6.951632,00:00.0,66978.2071,70,0.663496,6395.2721,0
2019-09-24 14:00,9613.48,9617.69,9500,9510.19,4.310514,00:00.0,41082.4266,116,1.696161,16189.8926,0
2019-09-24 15:00,9504.12,9530.01,9418.74,9508.52,4.102963,00:00.0,38795.8673,92,0.770428,7313.7087,0
2019-09-24 16:00,9510.35,9570.13,9480,9481.2,1.980272,00:00.0,18882.3281,147,0.859515,8192.5458,0
2019-09-24 17:00,9484.45,9494.23,9441.4,9468.74,1.13255,00:00.0,10725.7219,63,0.473795,4490.2546,0
2019-09-24 18:00,9460.89,9465.25,8602.44,8637.35,11.022499,00:00.0,100061.005,152,1.368409,12638.4137,0
2019-09-24 19:00,8600,8727.27,7895.02,8397.52,31.97322,00:00.0,268195.6571,459,23.795843,198880.6886,0
2019-09-24 20:00,8306.52,8675.27,8130.24,8620.66,7.130824,00:00.0,59817.1394,207,4.675606,39588.849,0
2019-09-24 21:00,8618.08,8783.9,8513.04,8699,7.17708,00:00.0,62177.3605,197,6.54987,56753.0422,0
2019-09-24 22:00,8702.92,8768.42,8670.61,8698.45,2.951746,00:00.0,25706.7009,54,2.696346,23484.8552,0
2019-09-24 23:00,8727.05,8777.45,8537.23,8570.86,2.459801,00:00.0,21524.3405,46,2.201906,19289.3544,0
2019-09-25 0:00,8548.7,8722.15,8548.7,8722.15,2.592735,00:00.0,22515.7555,66,2.354946,20467.6041,0
2019-09-25 1:00,8683.31,8700.93,8672.94,8700.93,0.518017,00:00.0,4502.0008,28,0.453591,3942.3385,0
2019-09-25 2:00,8703.38,8723.64,8612.28,8612.28,0.768822,00:00.0,6682.3256,46,0.40767,3552.4554,0
2019-09-25 3:00,8633.96,8638.05,8581.19,8581.19,0.718755,00:00.0,6193.3835,31,0.496544,4276.9994,0
2019-09-25 4:00,8596.48,8596.48,8416.85,8488.3,1.04023,00:00.0,8801.9685,20,0.330609,2806.6427,0
2019-09-25 5:00,8485.02,8537.39,8474.36,8518.15,0.129126,00:00.0,1098.6705,11,0.042926,366.0597,0
2019-09-25 6:00,8510.49,8510.49,8502,8502,0.217619,00:00.0,1851.0457,3,0.1,851.049,0
2019-09-25 7:00,8484.82,8484.82,8349.45,8349.45,0.500652,00:00.0,4211.8143,22,0.311373,2620.7812,0
2019-09-25 8:00,8332.57,8342.31,8268.59,8268.59,0.239846,00:00.0,1991.6294,17,0.086341,716.5691,0
2019-09-25 9:00,8387.14,8387.14,8387.14,8387.14,0.02,00:00.0,167.7428,1,0.02,167.7428,0
2019-09-25 10:00,8428.96,8487.77,8408.58,8414.94,0.759403,00:00.0,6413.5707,19,0.728385,6151.7783,0
2019-09-25 11:00,8438.61,8438.61,8324.36,8348.34,0.499561,00:00.0,4173.6606,12,0.453529,3787.3102,0
